date,CHF/USD,EUR/PLN
2024-01-12,1.1713379962763548,4.3574
2024-01-11,1.175327620967742,4.3505
2024-01-10,1.1735424652007265,4.3413
2024-01-09,1.1768151065333738,4.3351
2024-01-08,1.175349140962524,4.3548
2024-01-05,1.172245922208281,4.3484
2024-01-04,1.1772502771897997,4.3525
2024-01-03,1.174496980630935,4.3646
2024-01-02,1.1816798539257456,4.3434
2023-12-29,1.1900381194409149,4.348
2023-12-28,1.1969992305719417,4.3392
2023-12-27,1.1738730920414515,4.3311
2023-12-22,1.1685901672682903,4.3288
2023-12-21,1.1599949552276452,4.3387
2023-12-20,1.160852075796291,4.3341
2023-12-19,1.1545300699653962,4.3321
2023-12-18,1.1510662460567822,4.3269
2023-12-15,1.1537913848344608,4.3103
2023-12-14,1.1480093202309796,4.3053
2023-12-13,1.14142319858527,4.3309
2023-12-12,1.1394388618047957,4.3396
2023-12-11,1.1377212801350645,4.3366
2023-12-08,1.14265448843981,4.3303
2023-12-07,1.1449787308141992,4.3334
2023-12-06,1.1437739415949455,4.3382
2023-12-05,1.1448008018040592,4.3233
2023-12-04,1.1462484316185697,4.3337
2023-12-01,1.1443247306439488,4.3494
2023-11-30,1.1431801055011304,4.3492
2023-11-29,1.1406606211054258,4.3327
2023-11-28,1.1364779874213835,4.3542
2023-11-27,1.1345520380195628,4.3543
2023-11-24,1.1307882203326434,4.3722
2023-11-23,1.1327278640946734,4.3658
2023-11-22,1.1307366849178695,4.3804
2023-11-21,1.1309864099092324,4.3647
2023-11-20,1.1329560819269868,4.368
2023-11-17,1.1264661393111317,4.3767
2023-11-16,1.1246319435853025,4.3854
2023-11-15,1.1246384693347835,4.39
2023-11-14,1.1094394564426109,4.4163
2023-11-13,1.108525823407436,4.4336
2023-11-10,1.108200758032977,4.4227
2023-11-09,1.1104955074314071,4.4413
2023-11-08,1.1085781264950725,4.4584
2023-11-07,1.1107831137350903,4.4513
2023-11-06,1.1158701098477548,4.4615
2023-11-03,1.1059798838903887,4.4569
2023-11-02,1.1073088196744751,4.4582
2023-10-31,1.1089866615487958,4.4475
2023-10-30,1.1071836346336823,4.4491
2023-10-27,1.1104407693945633,4.4642
2023-10-26,1.1115225852105202,4.4708
2023-10-25,1.1171128559265917,4.4758
2023-10-23,1.12043691399743,4.4552
